iter	Logloss
0	0.6550372711
1	0.6244197532
2	0.6000440362
3	0.5806290652
4	0.5631088119
5	0.5496365544
6	0.5393964769
7	0.5304586621
8	0.5236551244
9	0.5178477816
10	0.5127949582
11	0.5085629158
12	0.504903105
13	0.5020126328
14	0.5001713839
15	0.4980380404
16	0.4960239829
17	0.494581673
18	0.4932840309
19	0.4922019965
20	0.490952776
21	0.4898237845
22	0.4888505283
23	0.4883024715
24	0.4874671809
25	0.4867411862
26	0.4862168931
27	0.4857213137
28	0.4852346542
29	0.4847930323
30	0.4843715804
31	0.4840999327
32	0.4836204162
33	0.4832270845
34	0.4829062057
35	0.4826248126
36	0.4821293378
37	0.4820013149
38	0.4817579032
39	0.4815348498
40	0.4811917162
41	0.4810004746
42	0.4807160127
43	0.4804709211
44	0.4802839705
45	0.4798969068
46	0.4796462094
47	0.4793311962
48	0.4791068862
49	0.478870026
50	0.4786355417
51	0.4784228641
52	0.4783641232
53	0.4781486569
54	0.477903873
55	0.4777245166
56	0.477540599
57	0.4773677293
58	0.477238768
59	0.4770271764
60	0.4768084633
61	0.4767681934
62	0.476461482
63	0.4762695897
64	0.4761181542
65	0.4759353698
66	0.4758580621
67	0.4756157573
68	0.4756098071
69	0.4754837851
70	0.4753025792
71	0.4752736248
72	0.4751740038
73	0.4749571117
74	0.4746983971
75	0.4745579603
76	0.474377931
77	0.4741645753
78	0.4739371861
79	0.4737335204
80	0.4736325671
81	0.4734867736
82	0.4733937655
83	0.4731847468
84	0.4730228372
85	0.4728697468
86	0.4726964896
87	0.4725376822
88	0.4724656008
89	0.4722970209
90	0.4722193395
91	0.4720594128
92	0.4719751676
93	0.4717954955
94	0.4716779584
95	0.4714897419
96	0.471302882
97	0.4711834234
98	0.4710750987
99	0.4709133806
100	0.470809506
101	0.4706336365
102	0.4705109026
103	0.4704446041
104	0.4703027336
105	0.4701824163
106	0.4700578121
107	0.4699394083
108	0.4697852638
109	0.4696384993
110	0.4695364426
111	0.4693294264
112	0.4691657577
113	0.468982373
114	0.4688819348
115	0.4687183958
116	0.4685576682
117	0.468462539
118	0.4681935841
119	0.4679781652
120	0.4678973229
121	0.4676806831
122	0.4675530703
123	0.467388933
124	0.4672667489
125	0.4670352476
126	0.4668511452
127	0.4667651196
128	0.4666206034
129	0.4665341272
130	0.4664105029
131	0.4662187773
132	0.4661309835
133	0.4659746629
134	0.4658940506
135	0.4657567807
136	0.4655865898
137	0.4654687084
138	0.465361765
139	0.4652512451
140	0.4651245124
141	0.4649499086
142	0.4648712438
143	0.46473658
144	0.4645706245
145	0.4644800472
146	0.4643464992
147	0.4641691558
148	0.4640483739
149	0.4638698545
150	0.4637321188
151	0.4636320585
152	0.4635377261
153	0.4633719444
154	0.4632361843
155	0.4630711405
156	0.4628873646
157	0.462683892
158	0.4625421042
159	0.4624331879
160	0.4623335196
161	0.4621720164
162	0.4619616043
163	0.461839177
164	0.4617335135
165	0.4615700298
166	0.461398548
167	0.461247814
168	0.4611039523
169	0.4609400568
170	0.4608043056
171	0.4606405879
172	0.4604721035
173	0.4603500142
174	0.4602344337
175	0.4600799367
176	0.459857491
177	0.4597131268
178	0.4595970528
179	0.4595298104
180	0.4593500083
181	0.4592022294
182	0.4590682235
183	0.4588713726
184	0.4587312225
185	0.4585586903
186	0.458379287
187	0.4582697071
188	0.4581968496
189	0.4580795776
190	0.4579522509
191	0.4578197674
192	0.4577132461
193	0.4576149688
194	0.4574816894
195	0.4573712729
196	0.4572599784
197	0.4570505232
198	0.4568997154
199	0.45675324
200	0.4566111463
201	0.4565443325
202	0.4564378139
203	0.4562965281
204	0.456203822
205	0.456026205
206	0.4558949121
207	0.4557653661
208	0.4556043173
209	0.4554912688
210	0.4554285577
211	0.455312785
212	0.4552113795
213	0.455112767
214	0.4550523875
215	0.454947505
216	0.4547794364
217	0.4546047438
218	0.4545119432
219	0.4544122796
220	0.4542951986
221	0.4542221371
222	0.4540976371
223	0.4539684968
224	0.4537981401
225	0.4536639688
226	0.4535258443
227	0.4534035352
228	0.4533127473
229	0.4531787092
230	0.4530249308
231	0.4529143392
232	0.4527699482
233	0.4526085321
234	0.4525381321
235	0.4524535607
236	0.4523087494
237	0.452189848
238	0.4520425208
239	0.4519560009
240	0.4518683777
241	0.4517314638
242	0.4516599517
243	0.4515259267
244	0.4514188524
245	0.451326029
246	0.4512159627
247	0.4511209241
248	0.4510610741
249	0.4509779511
250	0.450934966
251	0.4508202612
