iter	Passed	Remaining
0	5	5495
1	11	5604
2	16	5535
3	21	5409
4	27	5566
5	33	5594
6	38	5516
7	44	5521
8	49	5475
9	55	5466
10	61	5502
11	67	5525
12	72	5474
13	77	5449
14	82	5413
15	87	5407
16	93	5399
17	99	5416
18	105	5423
19	109	5389
20	115	5364
21	120	5372
22	127	5397
23	132	5368
24	137	5380
25	143	5392
26	149	5382
27	155	5411
28	161	5418
29	167	5415
30	173	5420
31	179	5443
32	186	5453
33	192	5457
34	197	5436
35	203	5448
36	209	5454
37	214	5423
38	219	5415
39	225	5410
40	231	5404
41	237	5420
42	243	5416
43	248	5397
44	253	5380
45	259	5375
46	264	5359
47	269	5352
48	275	5346
49	280	5330
50	286	5330
51	292	5326
52	297	5310
53	303	5308
54	308	5299
55	313	5292
56	319	5291
57	325	5284
58	331	5281
59	336	5270
60	342	5269
61	346	5242
62	351	5229
63	357	5223
64	362	5217
65	368	5210
66	373	5202
67	379	5198
68	382	5165
69	388	5162
70	394	5161
71	398	5138
72	404	5141
73	410	5135
74	416	5136
75	421	5130
76	427	5129
77	434	5130
78	439	5118
79	444	5111
80	450	5106
81	455	5101
82	461	5097
83	466	5084
84	472	5082
85	477	5069
86	482	5064
87	487	5054
88	493	5050
89	499	5046
90	504	5041
91	510	5035
92	515	5027
93	520	5017
94	525	5005
95	530	4999
96	536	4992
97	541	4986
98	547	4981
99	553	4979
100	559	4982
101	566	4986
102	573	4993
103	579	4996
104	586	4997
105	592	4992
106	597	4989
107	603	4985
108	609	4981
109	615	4978
110	620	4971
111	626	4966
112	631	4959
113	637	4950
114	642	4945
115	648	4939
116	653	4935
117	659	4927
118	664	4922
119	670	4914
120	675	4903
121	680	4898
122	685	4891
123	691	4884
124	696	4876
125	702	4871
126	707	4863
127	713	4859
128	719	4855
129	723	4843
130	728	4832
131	734	4826
132	739	4820
133	745	4816
134	750	4809
135	755	4797
136	760	4790
137	766	4785
138	771	4781
139	777	4774
140	782	4769
141	788	4763
142	793	4757
143	799	4752
144	805	4748
145	810	4742
146	816	4735
147	821	4729
148	826	4722
149	832	4715
150	836	4705
151	841	4696
152	847	4691
153	852	4685
154	858	4680
155	864	4675
156	869	4669
157	875	4663
158	880	4658
159	886	4655
160	891	4647
161	897	4641
162	902	4635
163	907	4628
164	913	4622
165	919	4617
166	924	4612
167	929	4604
168	935	4598
169	940	4593
170	946	4587
171	952	4583
172	958	4580
173	963	4575
174	969	4569
175	975	4566
176	980	4560
177	986	4553
178	991	4549
179	997	4545
180	1002	4537
181	1009	4536
182	1015	4531
183	1020	4526
184	1026	4521
185	1032	4520
186	1038	4515
187	1044	4509
188	1049	4505
189	1055	4499
190	1061	4494
191	1066	4489
192	1072	4483
193	1077	4477
194	1083	4471
195	1088	4465
196	1094	4460
197	1099	4455
198	1105	4449
199	1111	4444
200	1116	4438
201	1122	4433
202	1127	4428
203	1133	4421
204	1138	4415
205	1144	4409
206	1149	4402
207	1154	4397
208	1160	4392
209	1166	4386
210	1171	4380
211	1177	4375
212	1182	4370
213	1188	4365
214	1193	4358
215	1199	4352
216	1205	4348
217	1210	4343
218	1216	4338
219	1222	4332
220	1227	4327
221	1233	4323
222	1239	4317
223	1244	4312
224	1250	4307
225	1255	4301
226	1261	4296
227	1267	4290
228	1272	4283
229	1277	4276
230	1282	4270
231	1289	4267
232	1294	4260
233	1299	4255
234	1305	4250
235	1311	4244
236	1316	4239
237	1322	4234
238	1328	4229
239	1333	4222
240	1339	4219
241	1345	4213
242	1350	4207
243	1356	4202
244	1361	4195
245	1366	4189
246	1372	4184
247	1378	4179
248	1383	4173
249	1389	4167
250	1394	4162
251	1400	4156
252	1406	4152
253	1411	4146
254	1417	4140
255	1422	4135
256	1428	4130
257	1434	4125
258	1439	4119
259	1445	4113
260	1450	4107
261	1456	4102
262	1461	4094
263	1466	4089
264	1472	4084
265	1478	4078
266	1483	4073
267	1488	4066
268	1494	4060
269	1499	4054
270	1505	4049
271	1510	4043
272	1515	4036
273	1521	4030
274	1526	4024
275	1532	4019
276	1537	4013
277	1542	4006
278	1548	4001
279	1554	3997
280	1560	3991
281	1566	3987
282	1571	3982
283	1577	3976
284	1582	3971
285	1588	3965
286	1593	3959
287	1599	3953
288	1604	3948
289	1610	3943
290	1616	3938
291	1621	3932
292	1627	3927
293	1633	3922
294	1638	3916
295	1644	3912
296	1650	3907
297	1656	3902
298	1662	3896
299	1668	3892
300	1673	3886
301	1679	3881
302	1684	3874
303	1690	3869
304	1695	3863
305	1701	3858
306	1705	3850
307	1711	3845
308	1717	3841
309	1724	3837
310	1730	3832
311	1736	3828
312	1741	3822
313	1746	3816
314	1752	3810
315	1757	3804
316	1763	3798
317	1768	3792
318	1774	3787
319	1779	3781
320	1784	3775
321	1790	3770
322	1796	3764
323	1801	3758
324	1806	3752
325	1812	3747
326	1818	3742
327	1824	3737
328	1829	3731
329	1835	3725
330	1841	3721
331	1846	3715
332	1852	3709
333	1857	3704
334	1863	3699
335	1869	3694
336	1874	3688
337	1880	3683
338	1886	3677
339	1891	3671
340	1896	3665
341	1902	3659
342	1906	3652
343	1912	3646
344	1917	3640
345	1923	3636
346	1929	3631
347	1936	3627
348	1941	3622
349	1947	3616
350	1953	3611
351	1959	3607
352	1964	3601
353	1969	3594
354	1975	3589
355	1980	3582
356	1985	3576
357	1991	3571
358	1997	3565
359	2002	3560
360	2008	3555
361	2014	3550
362	2020	3545
363	2026	3540
364	2031	3534
365	2037	3529
366	2043	3524
367	2048	3518
368	2054	3513
369	2060	3507
370	2065	3502
371	2071	3496
372	2077	3491
373	2083	3487
374	2089	3482
375	2095	3477
376	2100	3471
377	2105	3464
378	2111	3459
379	2116	3453
380	2122	3448
381	2127	3441
382	2132	3436
383	2138	3430
384	2143	3423
385	2148	3418
386	2154	3412
387	2160	3407
388	2165	3401
389	2171	3396
390	2176	3390
391	2182	3384
392	2187	3378
393	2192	3372
394	2198	3368
395	2204	3362
396	2210	3357
397	2215	3351
398	2221	3346
399	2227	3340
400	2232	3335
401	2238	3329
402	2244	3324
403	2249	3319
404	2255	3313
405	2261	3308
406	2266	3302
407	2272	3297
408	2278	3291
409	2283	3285
410	2288	3280
411	2294	3274
412	2299	3267
413	2304	3261
414	2309	3256
415	2315	3250
416	2320	3244
417	2325	3238
418	2331	3232
419	2336	3226
